YEAR,week_start,cases
2011,6/12/11,0
2011,6/19/11,1
2011,6/26/11,6
2011,7/3/11,5
2011,7/10/11,4
2011,7/17/11,4
2011,7/24/11,1
2011,7/31/11,1
2011,8/7/11,7
2011,8/14/11,7
2011,8/21/11,4
2011,8/28/11,4
2011,9/4/11,2
2011,9/11/11,1
2011,9/18/11,0
2011,9/25/11,1
2011,10/2/11,1
2011,10/9/11,0
2011,10/16/11,0
2011,10/23/11,0
2011,10/30/11,0
2011,11/6/11,0
2011,11/13/11,0
2011,11/20/11,0
2011,11/27/11,0
2011,12/4/11,0
2011,12/11/11,0
2011,12/18/11,0
2011,12/25/11,0
2012,1/1/12,0
2012,1/8/12,0
2012,1/15/12,0
2012,1/22/12,0
2012,1/29/12,0
2012,2/5/12,0
2012,2/12/12,0
2012,2/19/12,0
2012,2/26/12,0
2012,3/4/12,0
2012,3/11/12,1
2012,3/18/12,0
2012,3/25/12,0
2012,4/1/12,0
2012,4/8/12,0
2012,4/15/12,0
2012,4/22/12,0
2012,4/29/12,0
2012,5/6/12,0
2012,5/13/12,0
2012,5/20/12,0
2012,5/27/12,2
2012,6/3/12,0
2012,6/10/12,0
2012,6/17/12,3
2012,6/24/12,2
2012,7/1/12,3
2012,7/8/12,5
2012,7/15/12,1
2012,7/22/12,2
2012,7/29/12,9
2012,8/5/12,6
2012,8/12/12,9
2012,8/19/12,10
2012,8/26/12,3
2012,9/2/12,8
2012,9/9/12,10
2012,9/16/12,6
2012,9/23/12,3
2012,9/30/12,7
2012,10/7/12,1
2012,10/14/12,2
2012,10/21/12,3
2012,10/28/12,0
2012,11/4/12,1
2012,11/11/12,0
2012,11/18/12,1
2012,11/25/12,0
2012,12/2/12,0
2012,12/9/12,1
2012,12/16/12,1
2012,12/23/12,0
2012,12/30/12,0
2013,12/30/12,0
2013,1/6/13,0
2013,1/13/13,0
2013,1/20/13,0
2013,1/27/13,0
2013,2/3/13,0
2013,2/10/13,0
2013,2/17/13,0
2013,2/24/13,0
2013,3/3/13,0
2013,3/10/13,0
2013,3/17/13,0
2013,3/24/13,0
2013,3/31/13,0
2013,4/7/13,0
2013,4/14/13,0
2013,4/21/13,0
2013,4/28/13,0
2013,5/5/13,0
2013,5/12/13,0
2013,5/19/13,0
2013,5/26/13,1
2013,6/2/13,2
2013,6/9/13,0
2013,6/16/13,3
2013,6/23/13,5
2013,6/30/13,5
2013,7/7/13,1
2013,7/14/13,3
2013,7/21/13,2
2013,7/28/13,2
2013,8/4/13,1
2013,8/11/13,1
2013,8/18/13,6
2013,8/25/13,4
2013,9/1/13,7
2013,9/8/13,3
2013,9/15/13,3
2013,9/22/13,1
2013,9/29/13,4
2013,10/6/13,1
2013,10/13/13,0
2013,10/20/13,0
2013,10/27/13,0
2013,11/3/13,0
2013,11/10/13,0
2013,11/17/13,0
2013,11/24/13,0
2013,12/1/13,0
2013,12/8/13,0
2013,12/15/13,0
2013,12/22/13,0
2013,12/29/13,0
2014,12/29/13,0
2014,1/5/14,0
2014,1/12/14,0
2014,1/19/14,0
2014,1/26/14,0
2014,2/2/14,0
2014,2/9/14,0
2014,2/16/14,0
2014,2/23/14,0
2014,3/2/14,0
2014,3/9/14,0
2014,3/16/14,0
2014,3/23/14,0
2014,3/30/14,0
2014,4/6/14,0
2014,4/13/14,0
2014,4/20/14,0
2014,4/27/14,0
2014,5/4/14,0
2014,5/11/14,0
2014,5/18/14,0
2014,5/25/14,0
2014,6/1/14,0
2014,6/8/14,1
2014,6/15/14,4
2014,6/22/14,1
2014,6/29/14,4
2014,7/6/14,2
2014,7/13/14,6
2014,7/20/14,6
2014,7/27/14,5
2014,8/3/14,6
2014,8/10/14,3
2014,8/17/14,1
2014,8/24/14,8
2014,8/31/14,5
2014,9/7/14,6
2014,9/14/14,9
2014,9/21/14,9
2014,9/28/14,9
2014,10/5/14,4
2014,10/12/14,3
2014,10/19/14,5
2014,10/26/14,3
2014,11/2/14,0
2014,11/9/14,1
2014,11/16/14,0
2014,11/23/14,0
2014,11/30/14,0
2014,12/7/14,1
2014,12/14/14,0
2014,12/21/14,1
2014,12/28/14,0
2015,12/28/14,0
2015,1/4/15,0
2015,1/11/15,0
2015,1/18/15,0
2015,1/25/15,0
2015,2/1/15,0
2015,2/8/15,0
2015,2/15/15,0
2015,2/22/15,0
2015,3/1/15,0
2015,3/8/15,0
2015,3/15/15,0
2015,3/22/15,0
2015,3/29/15,0
2015,4/5/15,0
2015,4/12/15,0
2015,4/19/15,0
2015,4/26/15,0
2015,5/3/15,0
2015,5/10/15,0
2015,5/17/15,0
2015,5/24/15,0
2015,5/31/15,1
2015,6/7/15,3
2015,6/14/15,3
2015,6/21/15,9
