YEAR,week_start,cases
2018,12/31/17,0
2018,1/7/18,0
2018,1/14/18,0
2018,1/21/18,0
2018,1/28/18,0
2018,2/4/18,0
2018,2/11/18,0
2018,2/18/18,0
2018,2/25/18,0
2018,3/4/18,0
2018,3/11/18,0
2018,3/18/18,0
2018,3/25/18,0
2018,4/1/18,0
2018,4/8/18,0
2018,4/15/18,0
2018,4/22/18,0
2018,4/29/18,0
2018,5/6/18,0
2018,5/13/18,0
2018,5/20/18,0
2018,5/27/18,0
2018,6/3/18,0
2018,6/10/18,0
2018,6/17/18,0
2018,6/24/18,0
2018,7/1/18,0
2018,7/8/18,1
2018,7/15/18,0
2018,7/22/18,1
2018,7/29/18,2
2018,8/5/18,2
2018,8/12/18,1
2018,8/19/18,0
2018,8/26/18,1
2018,9/2/18,2
2018,9/9/18,4
2018,9/16/18,3
2018,9/23/18,1
2018,9/30/18,0
2018,10/7/18,2
2018,10/14/18,2
2018,10/21/18,2
2018,10/28/18,0
2018,11/4/18,0
2018,11/11/18,0
2018,11/18/18,0
2018,11/25/18,0
2018,12/2/18,0
2018,12/9/18,0
2018,12/16/18,0
2018,12/23/18,0
2018,12/30/18,0
2019,12/30/18,0
2019,1/6/19,0
2019,1/13/19,1
2019,1/20/19,0
2019,1/27/19,0
2019,2/3/19,0
2019,2/10/19,0
2019,2/17/19,0
2019,2/24/19,0
2019,3/3/19,0
2019,3/10/19,0
2019,3/17/19,0
2019,3/24/19,0
2019,3/31/19,0
2019,4/7/19,1
2019,4/14/19,0
2019,4/21/19,0
2019,4/28/19,1
2019,5/5/19,0
2019,5/12/19,2
2019,5/19/19,5
2019,5/26/19,2
2019,6/2/19,9
2019,6/9/19,15
2019,6/16/19,23
2019,6/23/19,19
2019,6/30/19,25
2019,7/7/19,18
2019,7/14/19,20
2019,7/21/19,12
2019,7/28/19,6
2019,8/4/19,3
2019,8/11/19,1
2019,8/18/19,2
2019,8/25/19,3
2019,9/1/19,1
2019,9/8/19,0
2019,9/15/19,0
2019,9/22/19,1
2019,9/29/19,0
2019,10/6/19,0
2019,10/13/19,0
2019,10/20/19,0
2019,10/27/19,1
2019,11/3/19,0
2019,11/10/19,0
2019,11/17/19,0
2019,11/24/19,0
2019,12/1/19,0
2019,12/8/19,0
2019,12/15/19,0
2019,12/22/19,0
2019,12/29/19,0
